% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Complete Primary Schools,Country,City,Drinking water,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Learning score,No Facility,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,ADM1_EN,Retention score,School infrastructure score,Toilet,Total number of schools
68.17%,0.005834306,31.83%,0.25633232,0.403733956,45.46%,8.10%,20.19%,16.41%,5,Pakistan,Matiari,73.43688792,71.67,2.62%,79.62622416,78.74,62.625,9.83%,0.925485961,857,0.074514039,69,4.10%,515331,506,346,Sindh,63.475,68.54,80.89825898,926
61.92%,0.332320162,38.08%,0.301050175,0.53698075,13.20%,16.71%,14.77%,20.82%,656,Pakistan,Mirpurkhas,42.14952333,61.205,2.62%,47.50250878,43.095,56.94,34.49%,0.911357341,1974,0.088642659,192,4.10%,1569030,258,1060,Sindh,56.69,43.95,56.77972905,2166
69.10%,0.444286392,30.90%,0.141299194,0.414414414,36.49%,16.38%,23.16%,13.42%,937,Pakistan,Naushehro Feroze,83.08719596,65.775,2.62%,71.46787517,56.69,60.31,10.55%,0.904373928,2109,0.095626072,223,4.10%,1087571,298,874,Sindh,65.2,61.815,64.63698945,2332
72.98%,0.333900613,27.03%,0.257903494,0.455071477,16.93%,15.72%,21.48%,17.77%,981,Pakistan,Sanghar,51.11666667,54.365,2.62%,48.86666667,43.315,50.305,28.10%,0.940460948,2938,0.059539052,186,4.10%,1453028,620,1337,Sindh,46.815,48.14,54.73333333,3124
61.96%,0.308236273,38.05%,0.210347175,0.43469218,40.56%,13.48%,18.77%,15.54%,741,Pakistan,Shaheed Benazirabad,71.4963607,52.24,2.62%,71.5406389,37.78,54.81,11.65%,0.915460777,2404,0.084539223,222,4.10%,1071533,618,1045,Sindh,28.33,63.215,70.30570158,2626
63.27%,0.628303495,36.73%,0.144927536,0.226768968,28.08%,16.15%,24.46%,16.23%,737,Pakistan,Shikarpur,64.0308642,72.625,2.62%,53.55144033,76.9,59.935,15.08%,0.902307692,1173,0.097692308,127,4.10%,0,170,266,Sindh,66.93,57.18,66.40123457,1300
70.80%,0.273636364,29.21%,0.258181818,0.468181818,36.05%,13.03%,25.74%,16.31%,301,Pakistan,Sukkur,82.3153233,59.205,2.62%,74.9193977,47.885,53.525,8.87%,0.879296563,1100,0.120703437,151,4.10%,890438,284,515,Sindh,56.205,76.45,85.30248007,1251
73.42%,0.214285714,26.58%,0.215633423,0.570080863,31.77%,12.64%,23.71%,20.58%,159,Pakistan,Tando Allah Yar,57.6,62.3,2.62%,60.83333333,48.95,60.19,11.31%,0.89290012,742,0.10709988,89,4.10%,908373,160,423,Sindh,63.475,57.67,69.36666667,831
59.78%,0,40.22%,0.44,0.743157895,14.16%,22.81%,25.17%,19.08%,0,Pakistan,Tando Muhammad Khan,56.68301315,49.38,2.62%,56.21789687,32.115,61.375,18.78%,0.934119961,950,0.065880039,67,4.10%,550000,418,706,Sindh,13.795,59.805,66.29524773,1017
74.47%,0.024200054,25.53%,0.417585372,0.558214574,2.10%,15.12%,10.10%,19.79%,90,Pakistan,Tharparkar,30.19730586,55.205,2.62%,26.33359746,47,52.515,52.89%,0.927894212,3719,0.072105788,289,4.10%,955812,1553,2076,Sindh,45.77,36.665,45.84389857,4008
59.87%,0.018284107,40.14%,0.514767932,0.466947961,2.71%,22.57%,4.82%,25.48%,26,Pakistan,Thatta,57.90163934,57.22,2.62%,54.6147541,38.86,50.51,44.42%,0.938613861,1422,0.061386139,93,4.10%,914291,732,664,Sindh,49.355,59.545,63.83606557,1515
79.68%,0.089423077,20.32%,0.328365385,0.582211538,10.56%,22.64%,13.52%,25.20%,186,Pakistan,Umerkot,40.60575139,51.605,2.62%,43.46103896,43.61,50.965,28.08%,0.9344115,2080,0.0655885,146,4.10%,1113194,683,1211,Sindh,41.52,55.745,76.29035251,2226
79.45%,0.051148225,20.55%,0.279749478,0.669102296,10.32%,20.18%,17.14%,24.18%,147,Pakistan,Badin,61.05,52.14,2.68%,92.03,54.31,46.25,28.18%,0.941677588,2874,0.058322412,178,4.00%,1136044,804,1923,Sindh,37.44,59.18,60.4,3052
66.14%,0.500508647,33.86%,0.120549339,0.378942014,25.08%,15.72%,19.62%,18.53%,984,Pakistan,Dadu,38.22,62.41,2.68%,49.77,69.68,40.4,21.05%,0.933966746,1966,0.066033254,139,4.00%,1688811,237,745,Sindh,55.71,46.58,49.82,2105
80.54%,0.34609076,19.46%,0.126845271,0.527063969,14.90%,22.86%,30.20%,15.20%,633,Pakistan,Ghotki,68.48,58.93,2.68%,27.95,57.05,44.51,16.84%,0.933163265,1829,0.066836735,131,4.00%,970549,232,964,Sindh,64.68,44.71,44.96,1960
63.68%,0.447187929,36.32%,0.24691358,0.305898491,47.44%,11.26%,24.46%,12.40%,326,Pakistan,Hyderabad,59.56,67.32,2.68%,69.96,76.48,48.61,4.44%,0.829351536,729,0.170648464,150,4.00%,1565000,180,223,Sindh,57.87,65.01,77.41,879
59.02%,0.320541761,40.98%,0.25131678,0.42814146,12.15%,19.58%,19.93%,18.40%,426,Pakistan,Jacobabad,34.06,53.56,2.68%,42.69,56.56,25.18,29.93%,0.922916667,1329,0.077083333,111,4.00%,1425572,334,569,Sindh,41.5,35.48,42.54,1440
81.93%,0.298737728,18.07%,0.312762973,0.388499299,24.40%,16.26%,21.73%,25.92%,213,Pakistan,Jamshoro,33.42,47.55,2.68%,54.63,54.99,17.07,11.69%,0.905972046,713,0.094027954,74,4.00%,0,223,277,Sindh,50.06,48.46,56.11,787
79.84%,0.459102902,20.16%,0.166886544,0.374010554,16.06%,22.87%,19.25%,17.17%,696,Pakistan,Kambar-Shahdadkot,34.83,51.99,2.68%,51.09,58.4,26.93,24.65%,0.92949111,1516,0.07050889,115,4.00%,0,253,567,Sindh,52.46,42.59,46.68,1631
62.00%,0.700232019,38.00%,0.106728538,0.193039443,50.11%,9.04%,21.83%,15.08%,1509,Pakistan,Karachi,60.82,72.48,2.68%,97.17,85.2,66.19,3.94%,0.695834679,2155,0.304165321,942,4.00%,13215631,230,416,Sindh,50.54,72.24,84.57,3097
78.08%,0.411342426,21.92%,0.135678392,0.452979182,7.16%,22.21%,16.45%,13.44%,573,Pakistan,Kashmore-Kandhkot,40.78,50.9,2.68%,21.68,45.21,22.81,40.74%,0.931772575,1393,0.068227425,102,4.00%,662462,189,631,Sindh,63.65,26.66,24.77,1495
70.94%,0.114303959,29.06%,0.355363985,0.530332056,35.49%,13.44%,24.71%,15.20%,358,Pakistan,Khairpur,79.52,57.54,2.68%,60.67,60.37,30.3,11.16%,0.905202312,3132,0.094797688,328,4.00%,1546587,1113,1661,Sindh,60.43,59.71,67.29,3460
83.06%,0.617248062,16.94%,0.088178295,0.294573643,44.86%,8.65%,34.50%,5.48%,637,Pakistan,Larkana,80.15,62.38,2.68%,72.61,71.61,36.57,6.51%,0.883561644,1032,0.116438356,136,4.00%,1927066,91,304,Sindh,74.41,70.31,76.05,1168
73.26%,0.005834306,26.74%,0.25633232,0.403733956,45.46%,8.10%,20.19%,16.41%,5,Pakistan,Matiari,62.78,54.67,2.68%,69.66,60.48,30.51,9.83%,0.925485961,857,0.074514039,69,4.00%,515331,506,346,Sindh,50.95,63.34,76.78,926
75.02%,0.332320162,24.98%,0.301050175,0.53698075,13.20%,16.71%,14.77%,20.82%,656,Pakistan,Mirpurkhas,28.95,49.86,2.68%,31.93,53.19,31.98,34.49%,0.911357341,1974,0.088642659,192,4.00%,1569030,258,1060,Sindh,39.3,35.3,43.32,2166
68.97%,0.444286392,31.03%,0.141299194,0.414414414,36.49%,16.38%,23.16%,13.42%,937,Pakistan,Naushehro Feroze,81.04,63.61,2.68%,52.85,68.38,34.12,10.55%,0.904373928,2109,0.095626072,223,4.00%,1087571,298,874,Sindh,70.9,55.79,57.71,2332
78.36%,0.333900613,21.64%,0.257903494,0.455071477,16.93%,15.72%,21.48%,17.77%,981,Pakistan,Sanghar,41.31,58.38,2.68%,34.16,63.63,49.01,28.10%,0.940460948,2938,0.059539052,186,4.00%,1453028,620,1337,Sindh,49.25,41.85,50.09,3124
70.37%,0.308236273,29.63%,0.210347175,0.43469218,40.56%,13.48%,18.77%,15.54%,741,Pakistan,Shaheed Benazirabad,71.87,58.84,2.68%,90.37,61.56,21.78,11.65%,0.915460777,2404,0.084539223,222,4.00%,1071533,618,1045,Sindh,72.4,66.64,67.99,2626
71.89%,0.628303495,28.11%,0.144927536,0.226768968,28.08%,16.15%,24.46%,16.23%,737,Pakistan,Shikarpur,56.3,56.76,2.68%,44.7,58.8,26.14,15.08%,0.902307692,1173,0.097692308,127,4.00%,0,170,266,Sindh,64,48.56,54.38,1300
77.15%,0.273636364,22.85%,0.258181818,0.468181818,36.05%,13.03%,25.74%,16.31%,301,Pakistan,Sukkur,72.4,63.05,2.68%,59.48,64.77,50.6,8.87%,0.879296563,1100,0.120703437,151,4.00%,890438,284,515,Sindh,64,58.63,70.61,1251
72.57%,0.214285714,27.43%,0.215633423,0.570080863,31.77%,12.64%,23.71%,20.58%,159,Pakistan,Tando Allah Yar,47.79,58.84,2.68%,63.05,56.9,34.67,11.31%,0.89290012,742,0.10709988,89,4.00%,908373,160,423,Sindh,66.37,56.84,66.93,831
79.33%,0,20.67%,0.44,0.743157895,14.16%,22.81%,25.17%,19.08%,0,Pakistan,Tando Muhammad Khan,46.52,47.93,2.68%,26.33,49.23,31.32,18.78%,0.934119961,950,0.065880039,67,4.00%,550000,418,706,Sindh,40.47,42.46,48.67,1017
65.37%,0.024200054,34.63%,0.417585372,0.558214574,2.10%,15.12%,10.10%,19.79%,90,Pakistan,Tharparkar,17.68,52.98,2.68%,3.89,69,29.88,52.89%,0.927894212,3719,0.072105788,289,4.00%,955812,1553,2076,Sindh,28.42,25.88,36.95,4008
69.37%,0.018284107,30.63%,0.514767932,0.466947961,2.71%,22.57%,4.82%,25.48%,26,Pakistan,Thatta,17.97,43.86,2.68%,11.66,45.72,34.32,44.42%,0.938613861,1422,0.061386139,93,4.00%,914291,732,664,Sindh,14.75,25.51,31.3,1515
77.27%,0.089423077,22.73%,0.328365385,0.582211538,10.56%,22.64%,13.52%,25.20%,186,Pakistan,Umerkot,22.14,47.76,2.68%,21.53,54.22,35.12,28.08%,0.9344115,2080,0.0655885,146,4.00%,1113194,683,1211,Sindh,28.96,36.99,59.35,2226
67.01%,0.051148225,32.99%,0.279749478,0.669102296,10.32%,20.18%,17.14%,24.18%,147,Pakistan,Badin,32.776618,52.435267,2.20%,22.512178,45.841386,33.908333,28.18%,0.941677588,2874,0.058322412,178,4.70%,1136044,804,1923,Sindh,47,36.903271,53.653445,3052
59.61%,0.500508647,40.39%,0.120549339,0.378942014,25.08%,15.72%,19.62%,18.53%,984,Pakistan,Dadu,42.166836,64.623178,2.20%,45.422177,80.61963,42.479032,21.05%,0.933966746,1966,0.066033254,139,4.70%,1688811,237,745,Sindh,45,47.558494,52.034588,2105
69.70%,0.34609076,30.30%,0.126845271,0.527063969,14.90%,22.86%,30.20%,15.20%,633,Pakistan,Ghotki,73.482777,60.014987,2.20%,19.081465,49.289507,48.475,16.84%,0.933163265,1829,0.066836735,131,4.70%,970549,232,964,Sindh,62,44.625478,49.808639,1960
68.66%,0.447187929,31.34%,0.24691358,0.305898491,47.44%,11.26%,24.46%,12.40%,326,Pakistan,Hyderabad,57.887517,61.594782,2.20%,68.861454,63.595561,41.443617,4.44%,0.829351536,729,0.170648464,150,4.70%,1565000,180,223,Sindh,60,64.718793,78.463649,879
79.72%,0.320541761,20.28%,0.25131678,0.42814146,12.15%,19.58%,19.93%,18.40%,426,Pakistan,Jacobabad,35.440181,45.212825,2.20%,35.741159,47.373783,24.2,29.93%,0.922916667,1329,0.077083333,111,4.70%,1425572,334,569,Sindh,39,33.769752,43.265613,1440
69.07%,0.298737728,30.93%,0.312762973,0.388499299,24.40%,16.26%,21.73%,25.92%,213,Pakistan,Jamshoro,32.959327,54.013261,2.20%,46.984572,61.645831,30.47365,11.69%,0.905972046,713,0.094027954,74,4.70%,0,223,277,Sindh,43,48.863955,59.186536,787
62.57%,0.459102902,37.43%,0.166886544,0.374010554,16.06%,22.87%,19.25%,17.17%,696,Pakistan,Kambar-Shahdadkot,31.728232,53.806956,2.20%,35.883905,58.314968,33.485215,24.65%,0.92949111,1516,0.07050889,115,4.70%,0,253,567,Sindh,36,39.366755,44.591029,1631
60.87%,0.700232019,39.13%,0.106728538,0.193039443,50.11%,9.04%,21.83%,15.08%,1509,Pakistan,Karachi,58.37587,72.180952,2.20%,67.610209,73.697919,67.89827,3.94%,0.695834679,2155,0.304165321,942,4.70%,13215631,230,416,Sindh,58,64.844548,70.580046,3097
70.54%,0.411342426,29.46%,0.135678392,0.452979182,7.16%,22.21%,16.45%,13.44%,573,Pakistan,Kashmore-Kandhkot,48.456569,54.861695,2.20%,10.122039,41.923055,33.062238,40.74%,0.931772575,1393,0.068227425,102,4.70%,662462,189,631,Sindh,65,25.139986,24.479541,1495
65.93%,0.114303959,34.07%,0.355363985,0.530332056,35.49%,13.44%,24.71%,15.20%,358,Pakistan,Khairpur,77.234994,63.742063,2.20%,54.597701,66.505338,30.38845,11.16%,0.905202312,3132,0.094797688,328,4.70%,1546587,1113,1661,Sindh,74,54.367816,63.729246,3460
63.92%,0.617248062,36.08%,0.088178295,0.294573643,44.86%,8.65%,34.50%,5.48%,637,Pakistan,Larkana,78.972868,63.842601,2.20%,50.096899,65.365679,41.925772,6.51%,0.883561644,1032,0.116438356,136,4.70%,1927066,91,304,Sindh,62,69.98062,76.647287,1168
64.85%,0.005834306,35.15%,0.25633232,0.403733956,45.46%,8.10%,20.19%,16.41%,5,Pakistan,Matiari,61.726954,54.295235,2.20%,63.243874,51.747662,28.278616,9.83%,0.925485961,857,0.074514039,69,4.70%,515331,506,346,Sindh,52,62.098455,74.329055,926
72.44%,0.332320162,27.56%,0.301050175,0.53698075,13.20%,16.71%,14.77%,20.82%,656,Pakistan,Mirpurkhas,30.395137,52.196911,2.20%,22.89767,52.521291,36.706019,34.49%,0.911357341,1974,0.088642659,192,4.70%,1569030,258,1060,Sindh,42,34.275583,47.771023,2166
64.01%,0.444286392,35.99%,0.141299194,0.414414414,36.49%,16.38%,23.16%,13.42%,937,Pakistan,Naushehro Feroze,84.305358,69.878539,2.20%,54.385965,70.972184,45.55,10.55%,0.904373928,2109,0.095626072,223,4.70%,1087571,298,874,Sindh,77,56.936937,56.709341,2332
71.71%,0.333900613,28.29%,0.257903494,0.455071477,16.93%,15.72%,21.48%,17.77%,981,Pakistan,Sanghar,48.604493,57.553301,2.20%,23.621511,52.3111,44.614815,28.10%,0.940460948,2938,0.059539052,186,4.70%,1453028,620,1337,Sindh,55,41.034717,46.255956,3124
66.63%,0.308236273,33.37%,0.210347175,0.43469218,40.56%,13.48%,18.77%,15.54%,741,Pakistan,Shaheed Benazirabad,69.134775,63.081329,2.20%,62.229617,64.423251,35.425347,11.65%,0.915460777,2404,0.084539223,222,4.70%,1071533,618,1045,Sindh,69.105311,58.677205,57.445923,2626
69.23%,0.628303495,30.77%,0.144927536,0.226768968,28.08%,16.15%,24.46%,16.23%,737,Pakistan,Shikarpur,60.699062,54.788257,2.20%,38.363171,51.294687,26.090723,15.08%,0.902307692,1173,0.097692308,127,4.70%,0,170,266,Sindh,61,48.303495,56.265985,1300
67.55%,0.273636364,32.45%,0.258181818,0.468181818,36.05%,13.03%,25.74%,16.31%,301,Pakistan,Sukkur,72.090909,63.654803,2.20%,54.181818,63.362156,47.807312,8.87%,0.879296563,1100,0.120703437,151,4.70%,890438,284,515,Sindh,61,56.218182,63.363636,1251
63.98%,0.214285714,36.02%,0.215633423,0.570080863,31.77%,12.64%,23.71%,20.58%,159,Pakistan,Tando Allah Yar,50.539084,56.740249,2.20%,56.199461,46.713701,35.225,11.31%,0.89290012,742,0.10709988,89,4.70%,908373,160,423,Sindh,59,55.390836,62.533693,831
73.89%,0,26.11%,0.44,0.743157895,14.16%,22.81%,25.17%,19.08%,0,Pakistan,Tando Muhammad Khan,53.368421,48.57254,2.20%,20.210526,35.283098,39.223474,18.78%,0.934119961,950,0.065880039,67,4.70%,550000,418,706,Sindh,43.668667,43.010526,50.947368,1017
75.73%,0.024200054,24.27%,0.417585372,0.558214574,2.10%,15.12%,10.10%,19.79%,90,Pakistan,Tharparkar,14.896478,46.69936,2.20%,3.57623,54.232323,32.3,52.89%,0.927894212,3719,0.072105788,289,4.70%,955812,1553,2076,Sindh,26,26.071525,33.019629,4008
71.06%,0.018284107,28.94%,0.514767932,0.466947961,2.71%,22.57%,4.82%,25.48%,26,Pakistan,Thatta,5.907173,42.231505,2.20%,1.828411,37.217551,34.772481,44.42%,0.938613861,1422,0.061386139,93,4.70%,914291,732,664,Sindh,18,19.774965,35.161744,1515
62.13%,0.089423077,37.87%,0.328365385,0.582211538,10.56%,22.64%,13.52%,25.20%,186,Pakistan,Umerkot,23.221154,52.153092,2.20%,20,51.71426,33.025,28.08%,0.9344115,2080,0.0655885,146,4.70%,1113194,683,1211,Sindh,36,35.730769,54.615385,2226
