% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Complete Primary Schools,Country,City,Drinking water,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Learning score,No Facility,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,ADM1_EN,Retention score,School infrastructure score,Toilet,Total number of schools
60.85%,0.888268156,39.15%,0.018156425,0.093575419,90.27%,0.00%,9.73%,0.00%,636,Pakistan,Sahiwal,97.66536965,67.73372545,2.59%,85.73281453,85.83333333,48.75,0.00%,0.59517872,716,0.40482128,487,3.70%,1843194,13,67,Punjab,47.2,82.77561608,81.45265889,1203
59.24%,0.843562874,40.76%,0.046407186,0.11002994,92.86%,0.00%,7.14%,0.00%,1127,Pakistan,Sargodha,95.89509692,67.09829828,2.59%,62.25769669,85.83333333,50.6,0.00%,0.658128079,1336,0.341871921,694,3.70%,2665979,62,147,Punjab,41.2,72.02964652,78.62029647,2030
59.24%,0.768796992,40.76%,0.073308271,0.157894737,94.14%,0.00%,5.86%,0.00%,818,Pakistan,Sheikhupura,90.40219378,73.9366961,2.59%,51.2797075,86.66666667,64.325,0.00%,0.741980474,1064,0.258019526,370,3.70%,2321029,78,168,Punjab,54,73.58318099,82.99817185,1434
61.42%,0.813387424,38.58%,0.07775524,0.108857336,97.00%,0.00%,3.00%,0.00%,1203,Pakistan,Sialkot,89.4655704,81.99923467,2.59%,74.6659815,96.66666667,60.35,0.00%,0.738392411,1479,0.261607589,524,3.70%,1688823,115,161,Punjab,82.4,75.69373073,76.51593011,2003
58.36%,0.934722222,41.64%,0.022222222,0.043055556,92.21%,0.00%,7.79%,0.00%,673,Pakistan,Toba Tek Singh,94.88017429,76.26119894,2.59%,85.07625272,93.33333333,68.475,0.00%,0.596520298,720,0.403479702,487,3.70%,1621593,16,31,Punjab,51.6,84.55337691,88.45315904,1207
63.37%,0.843570058,36.63%,0.025911708,0.130518234,98.67%,0.00%,1.33%,0.00%,879,Pakistan,Vehari,97.51499572,64.07396373,2.59%,87.66066838,76.66666667,59.4,0.00%,0.692358804,1042,0.307641196,463,3.70%,2090416,27,136,Punjab,33.6,88.05484147,91.60239931,1505
53.53%,0.835680751,46.47%,0.042253521,0.122065728,95.96%,0.00%,4.04%,0.00%,712,Pakistan,Attock,96.87762238,82.955,2.62%,85.67016317,71.83,85.045,0.00%,0.662004662,852,0.337995338,435,4.10%,1274935,36,104,Punjab,78.475,89.735,86.18531469,1287
58.54%,0.713119216,41.47%,0.097441481,0.189439303,88.43%,0.00%,11.57%,0.00%,1310,Pakistan,Bahawalnagar,99.08350306,72.48,2.62%,76.6496945,50.26,81.915,0.00%,0.76446109,1837,0.23553891,566,4.10%,2061447,179,348,Punjab,66.275,86.515,77.39918534,2403
59.11%,0.752610966,40.90%,0.066579634,0.180809399,92.60%,0.00%,7.40%,0.00%,1153,Pakistan,Bahawalpur,98.26115486,67.11,2.62%,79.34908137,39.11,77.125,0.00%,0.776482514,1532,0.223517486,441,4.10%,2433091,102,277,Punjab,61.32,88.43,86.58267717,1973
64.04%,0.836714976,35.96%,0.024154589,0.139130435,89.96%,0.00%,10.04%,0.00%,866,Pakistan,Bhakkar,99.17203312,69.315,2.62%,79.89466421,55.06,79.33,0.00%,0.769516729,1035,0.230483271,310,4.10%,1051456,25,144,Punjab,56.91,84.905,77.20469181,1345
